Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
AK_86_AC_80,HABIL,5,15798,10,5.194444444,2.777777778,33.05555556,30.66666667,7.944444444,11.77777778,20.11111111,67.75,42,17.94444444,2.888888889,30,4.527777778,1190.611111,389.4166667,1856.666667
AK_86_AC_80,HABIL,5,15798,11,5.694444444,3.333333333,32.02777778,29.25,6.694444444,10.52777778,20.47222222,74.5,42.75,14.22222222,1.972222222,37.08333333,4.666666667,1100.583333,364.25,1748.027778
AK_86_AC_80,HABIL,5,15798,12,4.611111111,3.555555556,28.72222222,29.38888889,5.722222222,11.05555556,18.86111111,66.05555556,41.55555556,13.58333333,3.055555556,52.61111111,4.555555556,1104.777778,340.5277778,1728.638889
AK_86_AC_80,HABIL,5,15798,13,4.583333333,2.666666667,30.5,30.33333333,6.166666667,11.38888889,20.25,64.58333333,39.38888889,14.25,1.722222222,61.88888889,3.861111111,1171.305556,380.3611111,1843.25
AK_86_AC_80,HABIL,5,15798,14,3.472222222,5.527777778,30.13888889,31.22222222,6.083333333,11.91666667,20.25,73.77777778,32.5,15.05555556,2.277777778,57.63888889,5.472222222,1194.916667,381.3611111,1871.611111
AK_86_AC_80,HABIL,5,15798,15,3.611111111,3.25,34.25,31.97222222,6.5,11.25,22.63888889,76.83333333,33.05555556,17.75,2.527777778,80.72222222,4.722222222,1045.166667,412.1388889,1786.388889
AK_86_AC_80,HABIL,5,15798,16,2.944444444,3.777777778,37.27777778,35.58333333,9.916666667,13.66666667,23.33333333,75.25,32.25,11,2.027777778,103.1944444,4.472222222,1080.666667,466.8888889,1902.25
AK_86_AC_80,HABIL,5,15798,17,0.555555556,4.305555556,36.22222222,34.86111111,10.19444444,12.86111111,19.36111111,59.5,25.75,5.638888889,0.361111111,89.94444444,4.694444444,1115.527778,722.6388889,2142.416667
AK_86_AC_80,HABIL,5,15798,18,0.361111111,3.694444444,33.5,32.61111111,11.11111111,14.41666667,20.19444444,45.19444444,19.13888889,4.277777778,0.138888889,71.55555556,5.472222222,1066.166667,660.4444444,1988.277778
AK_86_AC_80,HABIL,5,15798,19,1.805555556,4.472222222,32.02777778,29.33333333,10.30555556,12.38888889,19.80555556,37.86111111,14.30555556,4.527777778,1.138888889,43.86111111,4.555555556,1111.527778,447.25,1775.166667
AK_86_AC_80,HABIL,5,15798,20,3.333333333,4.111111111,30.80555556,29.11111111,8,14.38888889,18.33333333,25.27777778,8.166666667,3.416666667,2.555555556,22.61111111,3.138888889,1141,331.5833333,1645.833333
AK_86_AC_80,HABIL,5,15798,21,2.138888889,3.75,31.36111111,22.30555556,6.611111111,16.05555556,14.72222222,19.36111111,8.305555556,2.416666667,1.055555556,19.08333333,1.805555556,1082.111111,348.0833333,1579.166667
AK_86_AC_80,HABIL,5,15798,22,1.361111111,3.527777778,25.86111111,13.16666667,5.75,14.33333333,12.91666667,15.5,4.805555556,2.583333333,1.111111111,23.36111111,1.388888889,757.6111111,247.1944444,1130.472222
AK_86_AC_80,HABIL,5,15798,23,2,3.166666667,13.75,8.055555556,1.416666667,14.75,6.833333333,10.38888889,3.083333333,3.166666667,1.944444444,10.97222222,1.027777778,387.6944444,78.5,546.75
L_AC_45A_S_AK_68,NOHAB,29,47160,0,3.733333333,0.366666667,1.366666667,1.8,0,6.6,2.183333333,7.683333333,1.85,3.583333333,1.233333333,5.85,5.9,403.4833333,56.95,502.5833333
L_AC_45A_S_AK_68,NOHAB,29,47160,1,4.716666667,0,0,0.566666667,0,0.783333333,2.083333333,6.916666667,3.166666667,6.45,1.333333333,4.45,4.05,350.5166667,32.53333333,417.5666667
L_AC_45A_S_AK_68,NOHAB,29,47160,2,4.116666667,0,0,0.083333333,0,0.683333333,1.85,6.733333333,2.916666667,3.85,0.816666667,3.266666667,2.433333333,326.6333333,24.41666667,377.8
L_AC_45A_S_AK_68,NOHAB,29,47160,3,6,0,0.2,2.55,0.1,1.3,1.916666667,11.56666667,5.883333333,4.016666667,1.316666667,3.016666667,4.666666667,336.7666667,27.61666667,406.9166667
L_AC_45A_S_AK_68,NOHAB,29,47160,4,9.166666667,0.183333333,2.9,13.7,0,12.13333333,8.7,16.83333333,9.833333333,6.7,1.716666667,8.516666667,20.8,335.9,63.9,510.9833333
L_AC_45A_S_AK_68,NOHAB,29,47160,5,6.383333333,1.1,24.11666667,36.28333333,2.75,29.55,23.18333333,25.86666667,11.6,9.533333333,1.333333333,13.2,52.2,520.9833333,310.7666667,1068.85
L_AC_45A_S_AK_68,NOHAB,29,47160,6,3.2,1.1,35.53333333,43.53333333,4.766666667,35.26666667,28.1,39.46666667,16.13333333,4.233333333,1.083333333,16.86666667,40.9,777.0166667,568.65,1615.85
L_AC_45A_S_AK_68,NOHAB,29,47160,7,2.9,1.466666667,46.85,42.48333333,6,36.65,29.55,48.5,19.73333333,6.016666667,1.916666667,15.86666667,37.18333333,899.1333333,658.0666667,1852.316667
L_AC_45A_S_AK_68,NOHAB,29,47160,8,3.966666667,1.283333333,44.45,41.16666667,5.133333333,37.98333333,30.61666667,52.9,19.88333333,8.233333333,1.433333333,14,39.31666667,958.75,479.1333333,1738.25
L_AC_45A_S_AK_68,NOHAB,29,47160,9,4.833333333,0.633333333,39.35,41.03333333,3.216666667,37.25,26.45,49.11666667,21.36666667,7.966666667,2.083333333,13.4,34.7,1018.533333,343.9,1643.833333
L_AC_45A_S_AK_68,NOHAB,29,47160,10,5.2,0.366666667,29.38333333,39.05,0.383333333,36.21666667,27.43333333,53.91666667,20.51666667,7.883333333,1.433333333,10.36666667,35.93333333,1022.75,355.0333333,1645.866667
L_AC_45A_S_AK_68,NOHAB,29,47160,11,6,0.55,28.18333333,37.7,0.2,35.11666667,25.73333333,51.21666667,17.76666667,6.666666667,1.216666667,13.51666667,31.5,1103.05,361.4833333,1719.9
L_AC_45A_S_AK_68,NOHAB,29,47160,12,6.6,0.45,30.71666667,35.18333333,0,33.36666667,24.63333333,47.7,20.36666667,5.533333333,1.266666667,16.91666667,37.8,1135.95,455.9166667,1852.4
